number_of_pedestrians,number_of_vehicles,number_of_two_wheel_vehicles,proportion_of_speeding_vehicles,proportion_of_vehicles_without_lights,proportion_of_light_ignoring_vehicles,light_ignoring_percent,proportion_of_sign_ignoring_vehicles,sign_ignoring_percent,proportion_of_vehicle_ignoring_vehicles,vehicle_ignoring_percent,proportion_of_walker_ignoring_vehicles,walker_ignoring_percent,proportion_of_keeping_right_vehicles,keeping_right_percent,proportion_of_lane_changing_vehicles,lane_change_percent,proportion_of_misbehaving_pedestrians,proportion_of_running_pedestrians,proportion_of_road_crossing_pedestrians,number_of_junctions,distance_in_metres,area_in_square_metres,cloudiness,precipitation,precipitation_deposits,wind_intensity,sun_azimuth_angle,sun_altitude_angle,fog_density,fog_distance,wetness,fog_falloff,scattering_intensity,mie_scattering_scale,rayleigh_scattering_scale,dust_storm,difficulty
20,57,10,0.2285,0.3601,0.2222,25.591,0.1529,26.9819,0.2239,27.3039,0.3121,25.1172,0.2133,25.8713,0.4114,28.6592,0.2687,0.2626,0.3355,5.7267,2205.2945,3169870.93,43.7386,5.0349,0.0,33.4333,287.3425,77.5828,10.1656,0.0,30.6774,0.1064,1.2174,0.0339,0.0333,0.0,227.4139
21,62,10,0.2486,0.3261,0.2454,21.5342,0.1648,24.0682,0.2264,21.7522,0.2996,30.5695,0.1706,32.7689,0.4142,33.8914,0.2291,0.252,0.2696,7.1807,1664.262,3222502.5907,59.064,4.6233,0.0,34.6324,318.5786,60.3775,10.9657,0.0,30.2745,0.1249,1.1641,0.03,0.0341,0.0,287.6234
20,68,11,0.2649,0.2834,0.2085,26.5575,0.1718,30.28,0.2841,25.8645,0.2987,21.3908,0.1917,26.6358,0.4382,31.3409,0.2538,0.3099,0.3186,5.6214,1949.5477,3671743.8562,62.2569,6.0462,0.0,27.38,317.689,69.907,9.8635,0.0,23.0802,0.0993,1.0512,0.0304,0.0284,0.0,206.6596
18,67,12,0.2828,0.3003,0.2635,21.958,0.2073,27.9213,0.2831,24.5581,0.3049,22.8939,0.1749,27.4251,0.4112,31.2484,0.2007,0.2501,0.3003,5.8597,2232.3653,2968404.882,48.9614,5.5384,0.0,33.0458,282.3241,67.8372,10.8474,0.0,27.488,0.1091,1.1626,0.0368,0.0333,0.0,222.3148
20,65,11,0.2713,0.3723,0.2665,30.8204,0.1559,29.6782,0.2375,23.1036,0.2559,28.3337,0.2167,26.8144,0.3609,29.2738,0.286,0.2738,0.2783,6.9105,2201.019,3180002.2021,56.0871,5.5328,0.0,32.8351,359.3832,63.1789,11.6493,0.0,28.4356,0.0954,1.1032,0.0342,0.0328,0.0,288.0041
18,73,11,0.2977,0.3218,0.1989,27.5932,0.1975,22.1459,0.3063,21.0828,0.2356,25.3756,0.1908,29.6196,0.3869,37.0736,0.2671,0.2943,0.2599,6.6316,1829.6303,3500190.3652,42.8595,5.8066,0.0,31.6195,289.4465,59.5175,12.4462,0.0,31.1407,0.0875,0.8722,0.0266,0.0347,0.0,214.662
25,60,12,0.293,0.3281,0.2125,27.3995,0.2174,22.792,0.2694,19.7206,0.2573,25.096,0.1808,26.7604,0.4908,27.3522,0.2771,0.2303,0.3467,6.6285,1642.5001,2652752.8826,59.6126,5.4293,0.0,28.2096,260.1672,55.7993,12.4479,0.0,27.075,0.085,1.098,0.0265,0.0289,0.0,281.6414
25,52,10,0.2612,0.3328,0.2667,25.9837,0.2038,30.4271,0.2647,26.1671,0.2443,30.9649,0.1809,35.5174,0.4447,36.2042,0.2493,0.2767,0.2711,6.6345,2225.0899,2942865.6337,52.2707,6.1105,0.0,31.2692,360.0,70.2956,9.6637,0.0,26.0036,0.1068,0.8566,0.036,0.0391,0.0,232.1784
17,73,11,0.2949,0.2845,0.2609,28.8579,0.1672,26.8104,0.249,25.8182,0.2915,24.1079,0.2078,31.7121,0.4963,26.9021,0.2304,0.264,0.2785,6.2931,1776.9625,3321185.3794,47.1115,5.4574,0.0,28.9461,360.0,71.3725,8.5745,0.0,24.7736,0.1088,1.122,0.0325,0.0388,0.0,253.8908
17,62,11,0.2809,0.3102,0.2328,22.5072,0.1953,29.4106,0.2206,26.8712,0.3237,28.2835,0.1621,29.3347,0.4567,36.2176,0.2211,0.2665,0.2637,6.9159,1962.353,3774162.5147,60.2763,5.8892,0.0,29.9259,282.67,55.8315,9.5659,0.0,24.3595,0.1226,0.8524,0.0276,0.0402,0.0,291.9022
22,51,9,0.2323,0.3113,0.1885,22.5132,0.1577,21.9835,0.2845,26.1608,0.3011,25.7046,0.1693,26.2327,0.438,28.3463,0.2092,0.2187,0.2765,5.4345,1637.887,3004682.9261,58.6519,4.3758,0.0,29.1711,355.2511,63.4702,11.2211,0.0,28.1682,0.1183,0.9318,0.037,0.0329,0.0,226.4508
17,64,9,0.3113,0.3045,0.192,26.4246,0.1642,21.8243,0.2883,27.6395,0.2465,26.8124,0.1646,28.828,0.3926,27.3489,0.2441,0.2958,0.3067,5.4681,1709.0191,3312876.2647,49.0672,5.0236,0.0,33.6214,260.0011,66.2722,12.275,0.0,26.2839,0.0856,1.2346,0.0256,0.0333,0.0,246.4834
22,63,10,0.2776,0.3598,0.267,26.0734,0.1496,28.3413,0.2489,26.1318,0.3116,26.388,0.1806,36.1281,0.3902,31.8189,0.2721,0.2239,0.2991,6.4137,1648.9221,2780143.7866,53.663,5.6368,0.0,33.0339,255.8866,75.5029,10.3027,0.0,28.6988,0.0945,1.0201,0.0282,0.0375,0.0,258.3712
20,63,12,0.2821,0.3713,0.2659,28.1825,0.2067,25.7235,0.2821,22.7133,0.3373,25.8614,0.2128,35.5284,0.4699,29.8285,0.2612,0.2487,0.3745,7.0234,1628.9867,2769102.1532,57.7556,6.1034,0.0,35.1276,286.8578,74.0401,10.1681,0.0,29.9206,0.1007,1.0236,0.0265,0.0328,0.0,279.9101
20,58,9,0.2854,0.2654,0.2352,27.0004,0.1819,27.6959,0.296,24.9927,0.3068,22.4508,0.2106,34.2462,0.3531,31.814,0.2396,0.2397,0.3033,7.0063,2236.4939,3853270.8172,47.9667,6.1053,0.0,36.7779,276.5726,64.958,11.7186,0.0,23.1233,0.0977,0.9007,0.034,0.0302,0.0,282.1567
21,67,11,0.2644,0.3713,0.2322,26.0154,0.201,28.3183,0.2933,24.1452,0.2791,21.6141,0.2082,36.9329,0.4169,29.5925,0.2028,0.2337,0.3007,6.2863,1930.6116,2760421.3535,53.2534,5.8846,0.0,25.6823,277.428,61.5638,10.1343,0.0,25.2797,0.0932,1.2317,0.0323,0.0355,0.0,255.2087
17,57,11,0.2731,0.265,0.2697,28.5387,0.1774,28.0293,0.224,22.7523,0.3076,30.5329,0.1575,32.8637,0.3545,26.7805,0.2282,0.2277,0.3007,5.1058,1601.1943,3426438.7359,43.4499,4.5006,0.0,29.2474,348.6567,67.6618,12.1466,0.0,26.8564,0.1245,0.9975,0.0324,0.0311,0.0,266.5215
25,58,9,0.2795,0.3613,0.2158,23.4723,0.2129,30.079,0.2284,22.874,0.3228,21.7277,0.1739,28.0197,0.4462,30.9113,0.2609,0.2872,0.2927,7.0834,2107.1975,3131252.672,50.0825,4.4099,0.0,37.4556,292.9759,62.3205,12.0549,0.0,28.9269,0.095,1.2237,0.0293,0.0372,0.0,247.5908
22,56,9,0.2617,0.3643,0.2086,28.0185,0.1787,30.2053,0.2327,24.4327,0.281,26.1901,0.1825,30.8011,0.361,31.7626,0.2497,0.252,0.2644,7.254,2277.4891,3143918.4673,60.1726,5.1529,0.0,29.8389,321.4243,80.5446,12.1012,0.0,23.3276,0.1027,0.935,0.0269,0.0283,0.0,237.9711
18,60,12,0.2494,0.2903,0.1918,27.5222,0.21,26.0462,0.2504,21.3969,0.2569,29.4161,0.1599,25.893,0.3602,30.8952,0.243,0.2174,0.3189,6.8694,1630.7288,3707047.624,61.7767,5.4991,0.0,28.122,360.0,58.3734,10.8237,0.0,26.0305,0.0935,0.9526,0.0309,0.0382,0.0,275.2184
25,62,11,0.2129,0.3338,0.269,28.7203,0.1652,30.724,0.2546,20.2228,0.2853,28.9427,0.2002,32.7782,0.374,25.5868,0.2218,0.269,0.2786,6.019,1652.584,3280777.3658,48.2298,6.0319,0.0,35.103,273.728,57.456,10.2171,0.0,21.79,0.0885,0.9936,0.0284,0.036,0.0,227.7294
23,68,9,0.2926,0.3277,0.21,25.5552,0.1656,27.7038,0.2275,21.6332,0.3241,28.3484,0.1638,25.5928,0.4966,27.7714,0.2589,0.2455,0.3487,6.4815,1770.8598,3486763.246,43.7056,4.8879,0.0,29.8521,274.3225,64.0278,8.672,0.0,27.5152,0.1037,1.0299,0.0303,0.0291,0.0,255.5271
21,57,11,0.2604,0.3266,0.2637,23.8068,0.169,26.9025,0.2155,20.3801,0.2803,25.4955,0.1665,31.9784,0.3867,27.8561,0.2365,0.3055,0.2804,5.5341,1578.4321,3414447.6301,45.4927,6.1547,0.0,27.1345,284.3202,79.101,9.0984,0.0,21.952,0.1204,1.1816,0.0279,0.0398,0.0,208.1787
22,54,9,0.2284,0.3381,0.2224,27.218,0.1828,22.768,0.2854,28.3287,0.2406,22.7502,0.1823,28.473,0.4729,34.0617,0.29,0.2507,0.2789,6.8353,2290.3195,2785939.4018,62.1458,4.7777,0.0,36.8045,283.2285,58.9408,11.9331,0.0,27.4993,0.0892,1.2091,0.0352,0.0287,0.0,211.4952
19,69,11,0.2428,0.3445,0.266,24.5256,0.1557,22.6437,0.233,26.4726,0.2787,27.6268,0.1524,34.5649,0.4178,26.0678,0.2011,0.2584,0.2684,6.6462,1659.1613,2684212.0954,42.9198,4.3098,0.0,29.7692,255.117,58.0571,12.419,0.0,28.7,0.1127,1.0201,0.0374,0.0402,0.0,280.2714
25,73,9,0.2737,0.2855,0.2612,25.0155,0.2123,28.5562,0.2478,26.2008,0.2408,21.6879,0.1738,26.3095,0.4982,31.8933,0.2447,0.2329,0.3246,6.3214,1847.4835,2904419.3012,51.1065,4.967,0.0,26.7231,276.9049,61.6706,11.8912,0.0,26.2016,0.1068,1.1766,0.0332,0.0405,0.0,295.3639
19,72,9,0.2268,0.2706,0.2208,21.7135,0.2056,26.2577,0.296,20.7213,0.2859,27.0455,0.1684,34.4953,0.4657,33.8671,0.2599,0.3082,0.3139,6.2582,1601.4275,3350015.1507,50.9107,5.4396,0.0,34.6092,360.0,63.8513,12.3286,0.0,28.861,0.1044,1.1505,0.0298,0.0316,0.0,220.8514
20,69,11,0.2161,0.259,0.2589,22.5728,0.2104,29.7102,0.2158,25.0973,0.3066,25.6067,0.1745,33.4284,0.425,33.1225,0.2611,0.2394,0.2646,7.2636,1665.3307,3791841.9849,53.6799,5.7711,0.0,37.1541,355.2074,69.2131,11.8915,0.0,24.0062,0.1117,1.1383,0.0295,0.0295,0.0,276.8651
24,59,9,0.2711,0.3415,0.2435,29.5246,0.1851,29.4132,0.2447,27.5126,0.2436,27.2537,0.2184,37.4742,0.4101,29.3527,0.2706,0.2237,0.3627,5.5411,1708.1003,3316257.9423,60.4769,4.3843,0.0,30.2181,261.2625,71.7354,11.9454,0.0,25.6993,0.0949,1.0746,0.0271,0.0357,0.0,237.5913
24,63,11,0.3002,0.2752,0.1925,30.1616,0.1535,30.0465,0.257,28.3264,0.3037,28.1623,0.1567,26.2861,0.4541,36.6307,0.2183,0.2849,0.3156,5.6619,1872.0248,3335858.9339,53.7754,4.9198,0.0,26.7309,321.7888,65.8551,10.0854,0.0,23.7782,0.095,0.926,0.0355,0.0323,0.0,225.9816
19,59,10,0.2476,0.2853,0.2275,30.7361,0.2156,29.7072,0.2494,24.5941,0.2406,26.3134,0.1884,32.3839,0.3873,35.1284,0.2494,0.2943,0.3074,6.3044,2193.4408,2856051.105,56.8857,5.5928,0.0,34.3225,305.1219,67.9216,10.5798,0.0,22.7474,0.0962,1.0498,0.0337,0.0353,0.0,228.4721
23,56,12,0.2865,0.267,0.2565,22.4611,0.1655,25.0925,0.2483,24.2888,0.3049,22.351,0.1842,34.5516,0.4016,35.089,0.2597,0.2445,0.3402,5.8966,2118.3728,3091142.2006,49.4301,5.1809,0.0,30.3834,268.3991,61.3956,12.2229,0.0,22.2946,0.1147,0.9297,0.0269,0.0383,0.0,249.7052
19,54,12,0.2594,0.3169,0.2243,26.4207,0.2132,26.5949,0.2378,25.5118,0.255,30.8044,0.1835,31.6565,0.4402,37.3419,0.2459,0.2513,0.3031,6.3175,2126.8971,2861391.373,46.4849,4.5368,0.0,34.013,301.3749,65.4826,11.1324,0.0,23.0162,0.085,1.207,0.0374,0.0372,0.0,212.7034
21,73,10,0.2742,0.286,0.2177,28.6492,0.1777,30.897,0.2844,25.761,0.3257,30.2185,0.1511,37.3,0.4319,28.64,0.2367,0.2318,0.2658,7.3737,2239.5964,3752518.8675,43.6816,4.2747,0.0,32.1135,314.3454,78.8122,8.8396,0.0,30.6816,0.124,1.1617,0.0361,0.0366,0.0,218.4823
23,62,11,0.3021,0.3016,0.2002,22.2244,0.2018,22.8444,0.2272,21.9011,0.3018,30.5388,0.1604,29.3532,0.4081,31.7177,0.2342,0.2307,0.3375,6.0356,1833.8217,3244428.0849,50.0359,4.8082,0.0,32.4715,290.2031,55.3924,11.8271,0.0,30.6128,0.114,1.1005,0.0353,0.029,0.0,282.3432
22,69,12,0.2286,0.3646,0.1921,27.1357,0.2043,24.3097,0.2512,22.6418,0.3012,24.1891,0.1888,32.6947,0.4842,29.3566,0.284,0.3041,0.3294,6.657,1743.2756,2721367.2572,61.2513,5.6036,0.0,34.5033,269.1854,58.6951,9.2145,0.0,26.1802,0.1115,0.8511,0.0323,0.0395,0.0,269.5219
24,68,9,0.2567,0.3183,0.1998,25.1652,0.2173,22.0857,0.2735,26.9723,0.24,31.1431,0.1535,25.6916,0.3906,36.9197,0.2437,0.2385,0.2586,5.4354,1876.2739,3610377.3895,57.6574,5.4389,0.0,26.2809,337.7094,68.8906,10.7896,0.0,30.6178,0.1124,0.9918,0.0307,0.0395,0.0,227.6447
24,66,11,0.243,0.2786,0.2159,28.7023,0.1603,27.5896,0.2921,27.5611,0.3054,21.2529,0.1617,33.5587,0.4455,31.5195,0.2634,0.2368,0.3687,6.9253,2146.2489,3307613.5149,53.9311,5.7401,0.0,35.5784,360.0,66.5065,9.5731,0.0,26.8027,0.0908,0.9624,0.0354,0.0322,0.0,208.1541
24,62,11,0.2643,0.3103,0.2397,25.057,0.1725,28.863,0.2827,25.1499,0.2477,25.5634,0.1825,27.4634,0.4455,34.2037,0.2363,0.2171,0.3181,5.5497,2034.8689,3734479.67,50.7159,5.1996,0.0,25.5335,360.0,77.9193,11.8854,0.0,24.4699,0.0958,1.1712,0.0266,0.037,0.0,215.3006
18,69,11,0.2832,0.279,0.2464,27.4804,0.183,31.1447,0.2396,26.3264,0.2527,27.8764,0.1921,28.1195,0.4339,31.3786,0.2551,0.2326,0.3551,6.738,2174.967,3243048.1183,60.3786,6.0299,0.0,32.3677,301.2497,66.9856,8.8369,0.0,24.7228,0.0928,1.0365,0.0351,0.0322,0.0,232.4472
17,54,12,0.2145,0.2781,0.1996,26.5743,0.1654,23.4209,0.2733,21.2833,0.2793,23.0586,0.2174,25.5743,0.4741,36.0746,0.2523,0.2955,0.3313,7.1916,2036.7231,3172080.6209,50.0398,4.4769,0.0,32.1156,274.9995,65.7386,12.134,0.0,29.435,0.1052,0.9698,0.0284,0.0367,0.0,211.3225
20,62,11,0.2722,0.313,0.2086,30.8438,0.1816,26.7259,0.2348,25.7038,0.2593,28.8119,0.1729,34.5278,0.4317,26.9711,0.2518,0.3038,0.2613,7.2006,1623.8484,3216865.6706,49.0159,4.831,0.0,27.2635,359.9922,61.2108,11.0217,0.0,25.0269,0.0924,1.1033,0.0306,0.0303,0.0,277.179
25,55,9,0.2758,0.3463,0.2357,25.9291,0.2097,24.9202,0.2172,25.7714,0.3405,23.0059,0.1803,32.4308,0.4206,31.6893,0.2085,0.2554,0.2621,7.062,1914.2981,3362876.5549,53.7438,4.3823,0.0,28.9092,360.0,68.9395,9.102,0.0,23.7295,0.103,1.0512,0.0352,0.0341,0.0,211.0928
20,72,12,0.2704,0.2699,0.1949,30.3814,0.1853,24.8387,0.2846,25.5166,0.2566,29.2051,0.1875,28.629,0.3464,34.8241,0.229,0.2319,0.366,6.01,2143.5801,3590813.5011,47.9787,5.6903,0.0,34.2626,256.1101,63.3331,10.3065,0.0,27.1639,0.1009,0.8927,0.0331,0.0311,0.0,254.4025
20,68,12,0.2416,0.3165,0.2693,28.6049,0.1942,27.9433,0.23,21.2125,0.3355,27.4382,0.1837,36.2829,0.4604,36.707,0.2396,0.2594,0.2801,5.9543,1952.9895,3110322.5856,47.1608,4.6806,0.0,26.2959,258.3658,80.2913,12.2585,0.0,26.3265,0.1194,1.1499,0.0357,0.0356,0.0,214.4796
23,71,10,0.2226,0.2772,0.2592,26.7015,0.1835,30.2885,0.2257,22.7707,0.2388,30.5665,0.1605,29.5809,0.3657,28.7386,0.2498,0.2902,0.3043,7.2069,1707.921,3735962.3892,42.8355,5.0147,0.0,27.0584,264.1793,79.9829,10.9016,0.0,30.5316,0.1075,1.1992,0.0277,0.0332,0.0,297.9528
21,59,12,0.2918,0.3077,0.2329,24.9388,0.1688,24.7803,0.3013,27.9539,0.2916,28.1074,0.1913,34.592,0.4667,31.1924,0.2318,0.2747,0.2614,5.9348,2116.8456,3064063.0868,56.3174,4.5733,0.0,35.8665,360.0,79.05,12.4639,0.0,24.0551,0.1139,1.1825,0.0351,0.0308,0.0,218.9759
25,55,9,0.2978,0.3312,0.1976,25.0379,0.1829,27.4759,0.3017,22.1299,0.3408,30.7179,0.1664,28.4766,0.4602,29.9801,0.2338,0.2526,0.2745,5.7855,2271.1366,3354366.5928,50.5261,5.5992,0.0,28.1857,269.3361,72.0341,12.2287,0.0,26.0401,0.1094,0.857,0.0289,0.0322,0.0,229.9552
18,63,12,0.2488,0.3,0.2018,23.9088,0.197,25.9669,0.3098,22.7024,0.2476,27.4599,0.2075,34.2664,0.4132,29.2134,0.2264,0.2729,0.3429,5.7219,1673.3145,3255548.857,54.9466,4.3383,0.0,30.5997,360.0,58.5876,11.0268,0.0,30.3847,0.0947,1.1548,0.0258,0.0337,0.0,231.1476
22,52,9,0.2801,0.2574,0.2608,24.9086,0.1596,24.3631,0.2599,28.0887,0.3228,27.7645,0.158,36.3376,0.4981,29.6842,0.2402,0.2858,0.2945,7.0331,1740.1067,3288713.0009,52.8084,5.1175,0.0,26.0478,341.4466,73.9331,9.7989,0.0,22.8165,0.1199,0.9938,0.0335,0.0395,0.0,205.4488
17,54,11,0.2333,0.2836,0.2079,31.1019,0.2007,27.7438,0.2852,22.2419,0.2467,27.5882,0.1875,26.5807,0.4486,27.7976,0.2493,0.2328,0.2721,7.0557,2116.3145,3171932.9653,60.9134,4.3541,0.0,36.7578,359.4227,57.2654,9.1586,0.0,25.2519,0.0863,1.1997,0.0268,0.0347,0.0,233.0395
23,56,10,0.2169,0.266,0.2316,28.6217,0.2075,30.9751,0.2619,27.6295,0.336,24.1435,0.1768,36.9051,0.4199,25.5499,0.2835,0.2686,0.3601,6.8655,1872.7199,3334114.9037,62.3899,5.5691,0.0,26.2655,291.4868,74.6477,11.5874,0.0,30.2979,0.1203,1.0845,0.0305,0.0311,0.0,243.6919
20,60,9,0.2575,0.3683,0.2364,29.9183,0.1629,21.7984,0.2338,20.6463,0.2387,24.4416,0.1524,36.6305,0.4622,31.6476,0.2807,0.3116,0.3545,5.4702,1729.6869,2969270.6958,52.8479,5.0143,0.0,33.4024,343.6175,80.338,9.9957,0.0,22.729,0.0926,0.9887,0.0302,0.0374,0.0,269.8987
23,68,11,0.2276,0.3522,0.2276,22.075,0.1653,27.9182,0.2218,27.1698,0.2393,26.3183,0.1795,28.0084,0.3586,29.7194,0.2156,0.2944,0.3299,5.8553,2133.4731,3632087.0045,45.939,4.2567,0.0,25.995,358.6396,80.0484,8.8088,0.0,22.5456,0.1024,1.1272,0.026,0.0339,0.0,250.097
21,59,12,0.2896,0.2909,0.233,28.2062,0.1508,23.283,0.2178,22.3754,0.2349,21.9759,0.2,26.1797,0.4226,32.3617,0.253,0.3084,0.353,6.5526,2128.7455,2805086.3537,44.8375,5.2391,0.0,32.2138,339.8018,62.4381,9.6777,0.0,26.4561,0.0962,0.9739,0.0361,0.0292,0.0,248.1148
20,52,10,0.2495,0.3742,0.2669,29.3311,0.2075,29.3451,0.2904,25.2225,0.2871,24.4281,0.1766,34.4197,0.4689,27.855,0.2523,0.2737,0.3445,5.4519,1690.0409,3685823.1942,47.0288,4.7619,0.0,36.6602,305.6596,72.8178,11.3956,0.0,30.6618,0.0925,0.9355,0.0358,0.035,0.0,208.1971
22,66,10,0.2372,0.3208,0.229,21.4219,0.2041,28.6361,0.218,24.3471,0.3253,23.667,0.175,30.1893,0.4409,34.1164,0.2506,0.2634,0.2842,6.8375,2093.1371,2796506.2578,59.7992,4.6531,0.0,34.2636,331.5306,60.346,11.7945,0.0,28.9696,0.118,1.0054,0.0368,0.0286,0.0,212.3782
19,64,9,0.2758,0.3418,0.2552,29.5607,0.1904,30.1531,0.3123,20.0987,0.3096,25.4767,0.1789,36.2276,0.3834,34.185,0.2739,0.2718,0.2606,5.2003,2280.1022,3435838.9179,45.3623,4.3589,0.0,27.2968,294.226,72.8079,9.5915,0.0,25.4401,0.1249,1.052,0.0263,0.0301,0.0,261.7123
17,72,12,0.3124,0.2948,0.2104,26.8426,0.1776,24.3414,0.2913,24.2367,0.317,21.2598,0.195,31.4443,0.4312,31.6605,0.2907,0.2669,0.3588,6.8765,2171.1313,2952833.3868,45.0453,5.658,0.0,25.7951,294.5497,80.0379,9.1524,0.0,30.32,0.0982,0.9908,0.036,0.035,0.0,208.7307
24,59,9,0.2485,0.2586,0.2491,27.3738,0.2152,26.8799,0.3021,28.523,0.3246,24.2144,0.2007,30.2821,0.4302,30.7565,0.2112,0.301,0.3262,5.531,1639.5204,3252976.2792,52.0513,4.8134,0.0,27.0441,317.4681,67.3152,9.5207,0.0,25.7548,0.1111,0.8883,0.0257,0.0329,0.0,290.6713
23,71,10,0.3002,0.3449,0.2091,21.5199,0.1839,24.8571,0.2928,28.0747,0.3424,30.0354,0.1497,25.651,0.3957,28.2627,0.2826,0.2175,0.3321,7.1168,2038.5773,3537981.5832,56.5686,4.4232,0.0,28.3891,357.8703,77.4684,12.3236,0.0,28.7781,0.1238,0.9896,0.0351,0.0348,0.0,280.2816
18,66,9,0.2824,0.3012,0.1997,24.7325,0.2159,27.0942,0.2215,23.1564,0.2627,25.6678,0.1783,30.7554,0.3472,35.0646,0.2864,0.2819,0.256,7.0434,2199.6928,3191774.5743,42.711,5.3624,0.0,34.1583,342.0311,74.8864,10.5334,0.0,25.229,0.1115,1.1294,0.0332,0.0327,0.0,208.3632
21,66,12,0.2708,0.3437,0.2539,27.9921,0.2007,28.4896,0.275,25.5253,0.311,24.7567,0.1582,27.4306,0.403,37.421,0.2673,0.2316,0.2864,5.7184,1852.4333,2803099.5924,56.0647,5.3718,0.0,34.7599,302.2181,63.274,12.47,0.0,26.9855,0.1174,1.2287,0.0365,0.0284,0.0,225.3526
19,53,9,0.2248,0.2677,0.1985,21.7278,0.2142,25.1092,0.2465,20.6482,0.3348,27.9517,0.2068,31.6182,0.3516,36.1333,0.2041,0.3087,0.273,5.2683,1935.2805,2632784.5762,53.1311,5.1745,0.0,32.4067,271.1225,63.2266,12.0562,0.0,27.3065,0.1157,1.0728,0.0333,0.0366,0.0,296.788
21,59,12,0.2515,0.2894,0.213,28.8584,0.1605,22.9017,0.2506,24.5494,0.2784,22.4991,0.1524,26.7249,0.3413,27.1498,0.2633,0.2954,0.3705,6.731,1760.3322,3387477.8625,45.7087,5.1722,0.0,30.7816,257.3797,67.948,8.7529,0.0,25.0637,0.1183,0.9607,0.0328,0.0313,0.0,288.8717
24,61,10,0.2595,0.3251,0.2261,28.2848,0.1734,26.1296,0.3116,28.3844,0.2375,21.8907,0.1753,26.0466,0.4213,36.9516,0.2154,0.2697,0.2833,7.4038,1875.2267,3082601.09,44.1906,6.0707,0.0,31.092,267.0908,78.5624,10.355,0.0,23.6277,0.1239,1.0293,0.0331,0.0361,0.0,227.2981
19,62,11,0.2833,0.3229,0.2078,24.8359,0.1695,27.9597,0.2727,25.1335,0.304,22.1884,0.1957,26.6983,0.4759,27.4487,0.2524,0.2127,0.2646,6.0554,1569.9639,2754614.0294,42.8,4.4027,0.0,30.4081,354.386,78.5273,9.2277,0.0,25.3623,0.1218,1.1802,0.0347,0.0368,0.0,246.3214
22,56,12,0.2202,0.361,0.2411,28.645,0.1531,25.7494,0.2849,25.4605,0.2747,29.6388,0.2111,27.0762,0.4636,26.9763,0.2286,0.2878,0.2807,6.4451,2049.7644,3831664.6441,50.4247,4.6579,0.0,26.7865,279.5376,57.0101,8.8033,0.0,28.1472,0.1224,1.1761,0.0268,0.0299,0.0,246.0474
20,53,11,0.2601,0.3521,0.1887,27.2146,0.172,31.1427,0.2949,20.9359,0.2798,25.6298,0.2077,34.9496,0.4633,28.7467,0.2019,0.2407,0.3496,6.6738,2091.757,3058499.7644,45.8879,4.5052,0.0,32.254,360.0,57.6794,10.7641,0.0,26.5864,0.0882,0.9732,0.0321,0.0301,0.0,256.8669
19,63,11,0.2929,0.2565,0.2372,30.9501,0.1758,26.421,0.2611,19.8028,0.264,25.9122,0.1731,32.7213,0.3756,26.7826,0.2382,0.2979,0.3695,6.5724,1931.5233,3644115.8338,58.1825,6.0898,0.0,32.4853,265.7613,72.164,9.4251,0.0,26.0096,0.1223,0.9667,0.0329,0.0353,0.0,266.1989
18,69,12,0.298,0.3586,0.2265,21.9196,0.1534,24.8906,0.2265,23.2969,0.2882,24.4936,0.1519,27.461,0.3987,27.2933,0.2287,0.2199,0.3248,6.0724,1789.4075,3686520.2874,49.5618,4.38,0.0,33.9249,278.4369,78.7301,9.7002,0.0,24.7934,0.1102,1.1068,0.0296,0.031,0.0,211.461
22,58,12,0.3057,0.3577,0.2304,24.4427,0.1973,29.7915,0.2926,28.4248,0.3156,21.5441,0.2132,32.036,0.4328,35.856,0.218,0.2159,0.2797,5.349,1804.9237,3446113.7804,54.1848,5.5393,0.0,30.8105,360.0,81.1045,11.2831,0.0,24.8159,0.1059,1.1786,0.0289,0.0351,0.0,279.3044
20,66,11,0.2413,0.3208,0.2102,26.4362,0.203,22.7881,0.2438,24.8654,0.2871,24.9665,0.2052,36.7598,0.4358,30.4771,0.2371,0.2738,0.2676,6.1217,1864.9533,3104372.7926,43.9898,5.2346,0.0,28.6993,270.5291,62.3334,10.4655,0.0,27.5843,0.1029,1.1914,0.0368,0.0319,0.0,249.1083
25,74,11,0.2665,0.3482,0.2311,28.9362,0.1562,28.0895,0.2575,22.2396,0.2403,29.8131,0.1985,34.5095,0.4195,30.6671,0.2321,0.2901,0.2944,6.9029,1942.6259,3618234.7591,42.6018,5.8001,0.0,25.7775,360.0,69.0476,11.4574,0.0,26.9771,0.0956,0.9076,0.0338,0.0394,0.0,267.0616
19,72,9,0.3117,0.3182,0.2439,25.2092,0.1799,30.7257,0.2934,23.9556,0.2872,27.3865,0.1995,37.4342,0.4327,36.6216,0.2645,0.3057,0.2577,6.1743,1709.3861,3549595.571,59.1622,5.7807,0.0,32.715,314.1711,69.4612,12.3823,0.0,28.2273,0.1085,0.9066,0.0334,0.0371,0.0,296.8858
22,53,12,0.2405,0.327,0.2102,28.9029,0.2136,26.5958,0.293,24.4003,0.3203,30.0438,0.2038,28.8971,0.3857,32.5986,0.2817,0.2692,0.3422,6.2985,1684.6296,3295419.2432,62.2116,4.6546,0.0,31.0817,268.704,70.1917,8.6326,0.0,28.6563,0.1043,0.9113,0.0317,0.0347,0.0,233.9366
